index,category,data
1,0,내가 로빈 젤 사랑하는 이유는.. 다정이 디폴트 & 덮빈이라는 어마무시한 이유도 있지만 김태평이 왕 큰 대형견이었다는 사실을 알게 해줬기 때무니야 ㅠ ㅠ
2,0,영선언니 옳은 말씀이시다!
3,0,"20181116. 
나영이도 보다 더 예쁜 분이다~"
4,0,"보컬이 진짜 중요한 게 메이트 노래 중에 내 띵곡은 전부 임헌일곡들. 사실 메이트 음악색 자체는 임헌일이 더 컸는데, 결국 갈라서선 보컬이 강한 정준일이 더 잘나감(물론 정준일이 만든 노래, 부른 노래도 엄청 좋아하지만)"
5,0,"181223
오버워치 - 청년겐지
Overwatch - genji shimada
아주 잠깐 찍어주고 가셨는데도 멋진 사진 남겨주신 살라딘님... 그저 빛...
Pb. 살라딘님!"
6,0,배칠수님 짱이죠~
7,0,"하얀 벙거지 모자 이쟁을 
다시 볼 수 있을거라 생각 못했어ㅠㅠㅠㅠㅠㅠ
진짜 너무너무너무너무 좋아 ㅠㅠㅠㅠㅠㅠㅠㅠ"
8,0,"언젠가 했던 낙서
솔직히 최애캐는 일라이인데 정원사가 너무 귀여워서 계속 그리게 된다.... 내가그린건 안 귀엽지만 말이야...
아래고양이는 그냥 무시하세요…"
9,0,"190131 HND  
무엘아 정말 고마워 >~<"
10,0,"악 저번주토요일.. 씨앤알..일반스탭 노예했음
문화예술경영팀 김지현 팀장님 얼굴복지로 행복했네요.......
멋쁜 스탭님들 사랑하는 신입사원여러분 모두 뵙게되어서 즐거웠삼 주최님들 고생많으셨어요"
11,0,이채은배우 너무 좋아한다
12,0,이다윗 잘생곀ㅅ어.....
13,0,"행복하게만 해줄게 
행복하기만 해 마크야"
14,0,백현이 종대 사랑행
15,0,사랑해 신정아
16,0,세훈이는 바보oF... 바다의 보배 ㅠ
17,0,"아름다운 시 많이 썼자나요~
아름다운 사랑 하루하루 조금씩 드릴게요~"
18,0,진짜 역이는 안 예쁜데가 없다ㅠㅠ갓 뒤로 나온 폭신폭신해 보이는 뒷머리랑 고개 숙일수록 앞으로 떨어지는 갓끈 장식도 그렇고 턱에 예쁘게 묶여있는 갓끈도ㅠㅠ 제일 예쁜 건 역시 물기 머금고 떨어지는 시선이랑 처연한 이목구비 꽉 차게 들어간 얼굴ㅠ 얼굴선도 부드러워서 역이랑 넘 잘어울려ㅠ
19,0,"35화에서
유토가 뙇! 하고나와서
뭐야 사카키 유우야가 왜 여기에! 이럴때
슌이 걔는 유토. 내 동료다. 라고
쉴드해주는 장면 좋아함"
